regine_area;main_no;point_no;param_key;version_no_end;station_name;station_status_name;dt_start_date;dt_end_date;percent_missing_days;first_year_regulation;latitude;longitude;utm_east_z33;utm_north_z33;regulation_part_area;regulation_part_reservoirs;transfer_area_in;transfer_area_out;drainage_basin_key;area_norway;area_total;comment;drainage_dens;dt_registration_date;dt_regul_date;gradient_1085;gradient_basin;gradient_river;height_minimum;height_hypso_10;height_hypso_20;height_hypso_30;height_hypso_40;height_hypso_50;height_hypso_60;height_hypso_70;height_hypso_80;height_hypso_90;height_maximum;length_km_basin;length_km_river;ocean_polar_angle;ocean_polar_distance;perc_agricul;perc_bog;perc_eff_bog;perc_eff_lake;perc_forest;perc_glacier;perc_lake;perc_mountain;perc_urban;prec_intens_max;utm_zone_gravi;utm_east_gravi;utm_north_gravi;utm_zone_inlet;utm_east_inlet;utm_north_inlet;br1_middelavrenning_1930_1960;br2_Tilsigsberegning;br3_Regional_flomfrekvensanalyse;br5_Regional_lavvannsanalyse;br6_Klimastudier;br7_Klimascenarier;br9_Flomvarsling;br11_FRIEND;br12_GRDC;br23_HBV;br24_middelavrenning_1930_1960;br26_TotalAvlop;br31_FlomserierPrim;br32_FlomserierSekundar;br33_Flomkart_aktive_ureg;br34_Flomkart_aktive_ureg;br38_Flomkart_aktive_ureg_periode;br39_Flomkart_nedlagt_stasjon
2;37;0;1001;1;Gardermoen Kulvert;Nedlagt;10.03.1995 12:00;02.12.2003 12:00;2,539185;;60,19732285;11,07287025;282346;6679863;;;;;46;2,769999981;2,769999981;;;12.05.2015 00:00;;2,460000038;2,299999952;2,450000048;200;200;201;202;203;204;205;206;207;208;225;2,25999999;1,629999995;194,0099945;;0;0;;-999;5,78000021;0;0;0;25,62999916;;33;283446;6680302;33;283292;6680607;;;;;;;;;;;;;;;;;;
2;43;0;1001;1;Glomstadfoss;Aktiv;21.01.2001 12:00;16.04.2016 12:00;0;1913;61,07811737;11,36816216;304121;6776925;0,698687851;0,113359988;0;0;2369;14438,69043;14438,69043;;;12.05.2015 00:00;;1,960000038;;2,130000114;211;485;620;703;764;823;884;951;1036;1168;2170;204,4400024;306,8699951;;;1,779999971;9,75;;0,109999999;49,36000061;0;2,809999943;28,36000061;0,079999998;;;;;;;;;;;;;;;;;;;;;Y;;;;
2;61;0;1001;1;Orva;Aktiv;01.12.1995 12:00;16.04.2016 12:00;8,867392;;62,64654922;11,35357475;313143;6951494;0;0;0;0;50;25,44000053;25,44000053;;;12.05.2015 00:00;;11,69999981;10,77999973;21,92000008;701;791;806;816;827;839;853;868;889;917;1026;9,739999771;12,07999992;325,1000061;;0,119999997;9,430000305;;6,369999886;36,63999939;0;12,93000031;14,81999969;0;;33;310902;6955940;33;309135;6959647;;;;;;;;;;;;;;;Y;;;
2;63;0;1001;0;Rudi;Aktiv;01.10.1987 12:00;23.05.2013 12:00;9,800363;;61,55955124;10,05738354;237568;6835077;0;0;0;0;51;369,6600037;369,6600037;;;12.05.2015 00:00;;16,69000053;17,40999985;20,98999977;245;726;825;866;915;980;1052;1112;1172;1250;1661;35,88000107;47,81000137;323,1400146;;1,889999986;7,300000191;;0,280000001;40,04000092;0;2,160000086;41,93000031;0;;33;231780;6853984;33;227795;6867391;;;;;;;;;;;;;Y;;;;;
2;79;0;1001;1;Tessevatn;Aktiv;17.02.1908 12:00;28.04.1915 12:00;0;;61,81336975;8,940585136;181015;6868277;;;;;54;224,9199982;224,9199982;;;12.05.2015 00:00;;11,31000042;;17,70999908;854;890;1048;1121;1237;1347;1442;1510;1594;1720;2199;24,17000008;38,15999985;330,8299866;;0,460000008;1,679999948;;5,829999924;7,079999924;0;6,699999809;78,70999908;0;;33;180049;6869507;33;158776;6863705;;;;;;;;;;;;;;;;;;
2;99;0;1001;0;Hornset;Nedlagt;24.02.1919 12:00;31.07.1969 12:00;81,825091;;61,79384232;11,15118313;297133;6857222;;;;;65;1087,540039;1087,540039;;;12.05.2015 00:00;;10,72000027;16,54000092;10,26000023;257;460;614;714;779;839;894;935;988;1070;1651;56,34999847;78,94000244;313,6900024;;1,99000001;7,869999886;;0,029999999;51,84999847;0;1,080000043;33,33000183;0,029999999;;33;294753;6886862;33;303305;6912165;;;;;;;;;;;;;;;;;;
2;102;0;1001;0;Gjende;Nedlagt;19.03.1932 12:00;27.02.1990 12:00;54,36806;;61,49501801;8,806900978;170616;6833593;;;;;67;375,6199951;375,6199951;;;12.05.2015 00:00;;14,22000027;0,01;14,36999989;984;1129;1301;1393;1457;1527;1613;1705;1807;1931;2362;29,89999962;36;321,980011;;0;0,839999974;;4,289999962;2,24000001;11,59000015;8,199999809;75,41999817;0;;33;156601;6832012;33;142136;6840585;;;;;;;;;;;Y;;;;;;;Y
2;111;0;1001;1;Aursunden;Aktiv;18.08.1902 12:00;31.12.1974 12:00;0;;62,68219757;11,46358585;318994;6955147;;;;;73;785,5750732;848,9500122;;;12.05.2015 00:00;;2,5;11,19999981;2,869999886;688;711;754;781;810;843;875;906;958;1057;1572;40,91999817;61,25;325,1000061;;1,190000057;9,609999657;;6,019999981;31,62999916;0;12,60000038;36,31999969;0,02;;33;338760;6957358;33;350257;6970927;Y;Y;Y;Y;Y;;;;;;;;;;;;;Y
2;112;0;1001;0;Nye Stai;Aktiv;01.01.1908 12:00;16.04.2016 12:00;0,007585;1913;61,4665184;11,04272556;289205;6821151;0,168702111;0,08799284;0;6575,629883;2353;8889,321289;8952,169922;;;12.05.2015 00:00;;2,039999962;;2,390000105;258;654;729;784;839;894;954;1023;1114;1248;2170;164,6900024;254,8699951;;;2,119999886;8,06000042;;0,07;40,75999832;0,01;2,829999924;36,33000183;0,100000001;;;;;;;;;;;;;;;;;;;;;Y;;;;
2;116;0;1001;1;Auma;Nedlagt;04.04.1921 12:00;31.12.1977 12:00;0;;62,21915436;10,65239716;274044;6906185;;;;;76;3583,248291;3646,75;;;12.05.2015 00:00;;2,400000095;;2,619999886;479;673;719;757;791;827;866;909;963;1051;1619;104,8000031;148,2700043;;;3,190000057;10,56999969;;0,379999995;42,97000122;0;4,980000019;28,29999924;0,150000006;;;;;;;;;;;;;;;;;;Y;;;;;;;
